Grupo,IP,Setor,Cartucho de toner,Unidade de imagem,Resultado
Assistencial 24h,192.168.0.40,raio-x interno,22%,85%,
Assistencial 24h,192.168.1.15,nir,23%,55%,
Assistencial 24h,192.168.0.81,raio-x recepcao,64%,28%,
Assistencial 24h,192.168.0.138,apartamento,38%,34%,
Assistencial 24h,192.168.0.74,UTI interno,45%,56%,
Assistencial 24h,192.168.0.112,setor primeira,72%,49%,
Assistencial 24h,192.168.0.101,pediatria,76%,63%,
Assistencial 24h,192.168.0.34,cc farmácia,70%,70%,
Assistencial 24h,192.168.0.18,farmacia,83%,91%,
Assistencial 24h,192.168.0.54,cc enfermagem,98%,99%,
Administrativo,192.168.0.200,compras,39%,13%,
Administrativo,192.168.0.82,laboratorio ADM,13%,13%,
Administrativo,192.168.0.126,caixa,20%,47%,
Administrativo,192.168.0.211,almoxarifado,25%,71%,
Administrativo,192.168.0.60,faturamento,27%,32%,
Administrativo,192.168.0.95,contabilidade,39%,76%,
Administrativo,192.168.0.115,SESMT,39%,84%,
Administrativo,192.168.0.181,RH,86%,55%,
Administrativo,192.168.0.71,financeiro,67%,89%,
Administrativo,192.168.0.47,ouvidoria,68%,88%,
Administrativo,192.168.0.105,gerencia técnica,73%,94%,
Administrativo,192.168.0.21,faturamento interno,100%,78%,
Administrativo,192.168.0.148,faturamento2,79%,91%,
Administrativo,192.168.0.180,juridico,80%,93%,
Administrativo,192.168.0.103,higiene e limpeza,81%,95%,
Administrativo,192.168.0.216,gerencia clinica,96%,100%,
Administrativo,192.168.0.165,financeiro2,97%,100%,
Administrativo,192.168.0.67,contabilidade2,100%,100%,
Administrativo,192.168.0.183,gerencia financeiro,100%,100%,
